City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,62.01,96,100,4.21,overcast clouds
1,Vaini,TO,-21.2,-175.2,73.4,100,75,1.14,broken clouds
2,Vestmannaeyjar,IS,63.4427,-20.2734,45.09,71,20,11.81,few clouds
3,Port Alfred,ZA,-33.5906,26.891,68.52,77,4,15.52,clear sky
4,Cabo San Lucas,MX,22.8909,-109.9124,75.99,53,1,5.75,clear sky
5,Tikaitnagar,IN,26.95,81.5833,94.01,10,14,3.22,few clouds
6,Qaanaaq,GL,77.484,-69.3632,31.82,77,96,10.71,overcast clouds
7,Hilo,US,19.7297,-155.09,71.6,73,75,3.24,light rain
8,Chegdomyn,RU,51.1167,133.0167,37.67,97,100,5.7,overcast clouds
9,Salinas,US,36.6777,-121.6555,60.8,62,1,10.36,clear sky
10,Avarua,CK,-21.2078,-159.775,80.6,83,20,6.91,few clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,73,75,12.66,broken clouds
12,Kieta,PG,-6.2167,155.6333,78.49,80,95,3.22,overcast clouds
13,Qasigiannguit,GL,68.8193,-51.1922,35.6,75,20,2.3,few clouds
14,Cape Town,ZA,-33.9258,18.4232,63.0,63,40,18.41,scattered clouds
15,Belmonte,BR,-15.8631,-38.8828,82.4,65,40,9.22,scattered clouds
16,Kanniyakumari,IN,8.0833,77.5667,83.82,78,45,13.67,scattered clouds
17,Aklavik,CA,68.2191,-135.0107,26.6,39,39,6.91,scattered clouds
18,Ushuaia,AR,-54.8,-68.3,44.6,65,40,10.36,scattered clouds
19,Saldanha,ZA,-33.0117,17.9442,62.6,63,8,19.57,clear sky
20,Rikitea,PF,-23.1203,-134.9692,76.03,71,19,9.24,few clouds
21,Lahij,YE,13.1667,44.5833,82.56,56,69,7.47,broken clouds
22,Mataura,NZ,-46.1927,168.8643,52.0,92,99,3.0,overcast clouds
23,Nanortalik,GL,60.1432,-45.2371,38.34,82,17,3.33,few clouds
24,Ilulissat,GL,69.2167,-51.1,35.6,75,20,2.3,few clouds
25,Saskylakh,RU,71.9167,114.0833,22.03,99,57,7.31,broken clouds
26,Butaritari,KI,3.0707,172.7902,82.44,76,100,9.15,overcast clouds
27,Kropotkin,RU,45.4375,40.5756,57.0,62,100,8.48,overcast clouds
28,Narsaq,GL,60.9167,-46.05,48.2,53,20,5.75,few clouds
29,Moron,AR,-34.6534,-58.6198,73.99,53,0,9.22,clear sky
30,Mayo,US,38.8876,-76.5119,84.99,36,1,6.91,clear sky
31,Jiexiu,CN,37.0244,111.9125,53.82,20,67,7.94,broken clouds
32,Albany,US,42.6001,-73.9662,69.01,48,75,4.09,broken clouds
33,Geraldton,AU,-28.7667,114.6,62.6,72,51,10.36,broken clouds
34,Punta Arenas,CL,-53.15,-70.9167,44.6,70,40,25.32,scattered clouds
35,Touros,BR,-5.1989,-35.4608,78.8,89,75,11.5,broken clouds
36,Bonnyville,CA,54.2668,-110.735,28.4,86,90,5.75,light snow
37,Yambio,SS,4.5721,28.3955,75.83,64,74,5.35,broken clouds
38,Jamestown,US,42.097,-79.2353,70.0,60,90,10.36,overcast clouds
39,San Cristobal,VE,7.7669,-72.225,78.8,89,75,4.61,fog
40,Mahebourg,MU,-20.4081,57.7,75.2,94,75,12.66,light rain
41,Surgut,RU,61.25,73.4167,42.8,61,0,4.47,clear sky
42,Soavinandriana,MG,-19.1667,46.7333,58.84,89,27,5.03,scattered clouds
43,Shestakovo,RU,56.4915,103.96,21.58,87,8,3.04,clear sky
44,Asfi,MA,32.2994,-9.2372,65.91,71,20,13.09,few clouds
45,Atasu,KZ,48.6814,71.6433,65.26,39,48,5.55,scattered clouds
46,Vila Velha,BR,-20.3297,-40.2925,82.0,73,75,13.8,broken clouds
47,Nikolskoye,RU,59.7035,30.7861,39.2,65,40,11.18,scattered clouds
48,Howard Springs,AU,-12.497,131.047,77.0,94,78,6.91,broken clouds
49,Jumla,NP,29.2747,82.1838,50.02,74,78,4.59,broken clouds
50,Buraydah,SA,26.326,43.975,89.6,29,40,10.36,scattered clouds
51,Bluff,NZ,-46.6,168.3333,52.0,92,100,3.0,overcast clouds
52,Banda Aceh,ID,5.5577,95.3222,80.15,79,70,3.62,broken clouds
53,Druskininkai,LT,54.0167,23.9667,44.92,68,98,5.19,overcast clouds
54,Iqaluit,CA,63.7506,-68.5145,30.2,86,90,9.22,light snow
55,Harlingen,US,26.1906,-97.6961,89.01,62,40,24.16,scattered clouds
56,Singaraja,ID,-8.112,115.0882,77.99,78,53,3.71,broken clouds
57,Grand-Santi,GF,4.25,-54.3833,84.43,70,92,2.39,overcast clouds
58,Shirokiy,RU,49.758,129.523,41.09,47,100,6.53,overcast clouds
59,Hasaki,JP,35.7333,140.8333,64.99,68,75,12.66,light rain
60,Pavlovka,RU,52.6897,47.1405,39.15,85,63,9.62,broken clouds
61,Maragogi,BR,-9.0122,-35.2225,82.81,72,45,9.13,scattered clouds
62,Ponta Do Sol,PT,32.6667,-17.1,64.99,72,75,10.36,broken clouds
63,Jacareacanga,BR,-6.2222,-57.7528,71.83,99,100,2.37,moderate rain
64,Kapaa,US,22.0752,-159.319,66.99,94,75,5.75,broken clouds
65,Port Hardy,CA,50.6996,-127.4199,48.2,93,90,12.66,moderate rain
66,Lebu,CL,-37.6167,-73.65,62.67,68,99,5.97,overcast clouds
67,Luderitz,NA,-26.6481,15.1594,63.45,81,1,18.32,clear sky
68,Pedernales,DO,18.0384,-71.744,82.27,62,4,8.7,clear sky
69,Castro,BR,-24.7911,-50.0119,70.21,46,53,2.26,broken clouds
70,Talnakh,RU,69.4865,88.3972,34.47,96,100,12.55,overcast clouds
71,Khatanga,RU,71.9667,102.5,15.55,93,100,4.65,overcast clouds
72,Abay,KZ,49.6311,72.8539,51.8,66,0,2.24,clear sky
73,Bandarbeyla,SO,9.4942,50.8122,84.15,75,22,10.22,few clouds
74,Nishihara,JP,26.1842,127.7558,73.4,78,40,10.36,scattered clouds
75,Atuona,PF,-9.8,-139.0333,79.5,73,99,15.1,overcast clouds
76,Barrow,US,71.2906,-156.7887,17.6,86,90,6.91,mist
77,Kaitangata,NZ,-46.2817,169.8464,54.0,78,100,1.99,overcast clouds
78,Yamada,JP,39.4667,141.95,55.62,80,100,4.45,heavy intensity rain
79,Chuy,UY,-33.6971,-53.4616,68.05,52,0,4.7,clear sky
80,Artyom,AZ,40.4723,50.333,53.6,87,0,11.5,clear sky
81,Viadana,IT,44.9333,10.5333,62.6,63,20,3.44,few clouds
82,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,68.02,52,0,4.41,clear sky
83,Georgetown,MY,5.4112,100.3354,78.8,94,40,3.44,scattered clouds
84,Kendari,ID,-3.945,122.4989,76.23,84,80,0.63,broken clouds
85,Hobart,AU,-42.8794,147.3294,55.4,71,94,9.22,moderate rain
86,Westport,US,41.1415,-73.3579,75.99,62,1,11.5,clear sky
87,Clyde River,CA,70.4692,-68.5914,19.4,86,1,4.61,clear sky
88,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,96,8.05,moderate rain
89,Tommot,RU,58.9564,126.2925,20.79,93,98,4.7,overcast clouds
90,Vardo,NO,70.3705,31.1107,24.8,80,75,13.8,light snow
91,Winnemucca,US,40.973,-117.7357,48.2,46,1,3.15,clear sky
92,Dakar,SN,14.6937,-17.4441,75.2,73,0,13.8,clear sky
93,Hermanus,ZA,-34.4187,19.2345,60.01,80,92,1.99,overcast clouds
94,Black River,JM,18.0264,-77.8487,86.0,70,40,21.85,scattered clouds
95,Constitucion,CL,-35.3333,-72.4167,67.08,52,29,7.49,scattered clouds
96,Sao Filipe,CV,14.8961,-24.4956,72.84,77,5,11.48,clear sky
97,Namatanai,PG,-3.6667,152.4333,79.27,82,79,7.02,light rain
98,Maningrida,AU,-12.0667,134.2667,75.04,91,96,8.14,overcast clouds
99,Saint Anthony,US,45.0205,-93.218,53.01,66,1,5.75,clear sky
100,Bredasdorp,ZA,-34.5322,20.0403,62.6,63,88,5.75,overcast clouds
101,Pevek,RU,69.7008,170.3133,10.31,94,100,7.31,overcast clouds
102,Chokurdakh,RU,70.6333,147.9167,2.25,97,84,6.06,broken clouds
103,Roswell,US,34.0232,-84.3616,80.01,61,1,8.61,clear sky
104,Los Banos,PH,14.1667,121.1833,81.0,74,75,6.91,broken clouds
105,Boende,CD,-0.2167,20.8667,75.15,93,99,3.69,light rain
106,Rocha,UY,-34.4833,-54.3333,67.55,60,2,5.41,clear sky
107,Fortuna,US,40.5982,-124.1573,63.0,93,1,3.44,clear sky
108,Kokkola,FI,63.8385,23.1307,37.4,41,0,5.75,clear sky
109,Mahajanga,MG,-15.7167,46.3167,80.6,89,20,4.61,few clouds
110,Meulaboh,ID,4.1363,96.1285,78.55,89,100,7.27,moderate rain
111,Kozhva,RU,65.1073,57.0459,35.42,95,100,4.12,overcast clouds
112,Hamilton,US,39.1834,-84.5333,78.01,69,75,9.22,broken clouds
113,Byron Bay,AU,-28.65,153.6167,57.2,100,100,5.75,overcast clouds
114,Gravdal,NO,68.1214,13.5031,39.2,48,0,10.36,clear sky
115,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,16.11,scattered clouds
116,Smithers,CA,54.7804,-127.1743,42.8,75,90,3.44,overcast clouds
117,Taiobeiras,BR,-15.8078,-42.2331,86.27,33,41,6.73,scattered clouds
118,Popondetta,PG,-8.7537,148.2534,72.77,99,100,1.61,overcast clouds
119,Bytow,PL,54.1706,17.4919,48.2,53,0,12.66,clear sky
120,Kudahuvadhoo,MV,2.6708,72.8944,83.53,67,42,5.66,scattered clouds
121,Tuatapere,NZ,-46.1333,167.6833,52.0,92,100,3.0,overcast clouds
122,Molchanovo,RU,57.5817,83.7692,38.95,90,72,7.92,broken clouds
123,Weinan,CN,34.5036,109.5089,53.6,66,0,6.71,clear sky
124,Sisimiut,GL,66.9395,-53.6735,40.1,63,100,5.01,overcast clouds
125,Yar-Sale,RU,66.8333,70.8333,13.3,95,83,6.51,broken clouds
126,Rupea,RO,46.0333,25.2167,47.8,84,47,6.85,scattered clouds
127,New Norfolk,AU,-42.7826,147.0587,52.0,85,98,3.33,overcast clouds
128,Wakkanai,JP,45.4094,141.6739,44.74,88,100,25.61,overcast clouds
129,Yellowknife,CA,62.456,-114.3525,19.0,73,75,14.97,light snow
130,Zaysan,KZ,47.4667,84.8667,61.25,41,62,5.39,broken clouds
131,Moose Factory,CA,51.2585,-80.6094,48.2,29,1,9.22,clear sky
132,Tshela,CD,-4.9833,12.9333,78.71,90,72,1.52,light rain
133,Longyearbyen,SJ,78.2186,15.6401,21.2,68,40,9.22,scattered clouds
134,Silos,CO,7.2052,-72.7564,68.0,100,75,5.75,moderate rain
135,Boa Vista,BR,2.8197,-60.6733,87.8,55,75,3.44,light rain
136,Hithadhoo,MV,-0.6,73.0833,83.64,66,64,3.31,broken clouds
137,Ust-Tsilma,RU,65.441,52.1498,30.38,92,100,5.64,overcast clouds
138,Provideniya,RU,64.3833,-173.3,28.71,65,6,9.08,clear sky
139,Saint-Francois,FR,46.4154,3.9054,55.4,88,75,6.91,light rain
140,San Patricio,US,28.017,-97.5169,81.0,83,90,18.41,overcast clouds
141,Karratha,AU,-20.7377,116.8463,79.86,31,0,8.86,clear sky
142,Causapscal,CA,48.3542,-67.227,43.63,75,89,10.51,overcast clouds
143,Pangnirtung,CA,66.1451,-65.7125,24.8,74,90,2.3,overcast clouds
144,Bethel,US,41.3712,-73.414,75.99,40,1,4.61,clear sky
145,Ilorin,NG,8.5,4.55,80.56,66,78,13.31,light rain
146,Iquique,CL,-20.2208,-70.1431,69.8,60,0,2.3,clear sky
147,Severo-Kurilsk,RU,50.6789,156.125,33.69,90,98,8.95,overcast clouds
148,Changji,CN,44.0167,87.3167,66.2,20,0,6.71,clear sky
149,Sulangan,PH,11.1373,123.7228,81.3,79,25,15.17,scattered clouds
150,Big Spring,US,32.2504,-101.4787,69.8,83,90,18.41,overcast clouds
151,Lixourion,GR,38.2019,20.4314,69.8,68,20,12.66,few clouds
152,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,69,40,4.61,scattered clouds
153,Carutapera,BR,-1.195,-46.02,85.23,67,85,6.76,overcast clouds
154,Alofi,NU,-19.0595,-169.9187,78.8,94,100,6.91,light rain
155,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,0,8.05,clear sky
156,Cidreira,BR,-30.1811,-50.2056,68.16,66,75,12.88,broken clouds
157,La Ronge,CA,55.1001,-105.2842,23.0,45,98,3.44,overcast clouds
158,Roald,NO,62.5833,6.1333,44.6,57,20,13.8,few clouds
159,Cherskiy,RU,68.75,161.3,18.9,91,100,7.09,overcast clouds
160,Bonthe,SL,7.5264,-12.505,85.86,64,99,7.76,overcast clouds
161,Zhob,PK,31.3411,69.4481,76.3,26,100,2.04,overcast clouds
162,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.6,61,75,2.3,broken clouds
163,Dawei,MM,14.0833,98.2,77.04,89,86,2.28,overcast clouds
164,Lugoba,TZ,-6.45,38.3333,72.25,97,98,3.0,light rain
165,Namibe,AO,-15.1961,12.1522,77.92,66,9,15.73,clear sky
166,Husavik,IS,66.0449,-17.3389,39.2,52,20,3.44,few clouds
167,Bilibino,RU,68.0546,166.4372,3.69,98,72,2.8,broken clouds
168,Kodiak,US,57.79,-152.4072,42.8,87,90,14.97,light rain
169,Avera,US,33.194,-82.5271,78.01,65,1,9.22,clear sky
170,Iskateley,RU,67.6803,53.1512,25.54,81,100,3.13,overcast clouds
171,Acarau,BR,-2.8856,-40.12,85.71,67,38,15.03,scattered clouds
172,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,72,20,9.22,few clouds
173,Faanui,PF,-16.4833,-151.75,81.7,71,59,11.18,broken clouds
174,Victoria,HK,22.2855,114.1577,75.0,93,100,6.76,overcast clouds
175,Oranjemund,NA,-28.55,16.4333,60.28,91,24,12.73,few clouds
176,Ampanihy,MG,-24.7,44.75,72.39,72,56,7.02,broken clouds
177,Kruisfontein,ZA,-34.0033,24.7314,66.99,75,14,3.0,few clouds
178,Torbay,CA,47.6666,-52.7314,51.8,71,75,19.57,broken clouds
179,Koumac,NC,-20.5667,164.2833,68.68,67,0,7.96,clear sky
180,Ribeira Grande,PT,38.5167,-28.7,66.2,59,40,14.97,scattered clouds
181,Los Llanos De Aridane,ES,28.6585,-17.9182,71.6,60,20,4.61,few clouds
182,Bengkulu,ID,-3.8004,102.2655,75.54,92,100,3.56,overcast clouds
183,Kirakira,SB,-10.4544,161.9205,76.17,78,78,4.59,moderate rain
184,Skibbereen,IE,51.55,-9.2667,50.0,50,75,13.8,broken clouds
185,Belaya Gora,RU,68.5333,146.4167,2.77,99,41,3.62,scattered clouds
186,Samarai,PG,-10.6167,150.6667,77.92,83,100,12.71,overcast clouds
187,Dondo,MZ,-19.6094,34.7431,78.8,83,20,8.1,few clouds
188,Ayan,RU,56.45,138.1667,29.73,81,100,15.52,overcast clouds
189,Westfield,US,42.1251,-72.7495,66.2,42,1,4.27,clear sky
190,Dickinson,US,29.4608,-95.0513,82.99,69,75,21.85,broken clouds
191,Fairbanks,US,64.8378,-147.7164,39.0,55,40,5.75,scattered clouds
192,Walvis Bay,NA,-22.9575,14.5053,66.2,68,0,12.66,clear sky
193,Gao,ML,16.6362,1.637,106.2,5,1,14.72,clear sky
194,Aasiaat,GL,68.7098,-52.8699,33.24,83,68,8.95,broken clouds
195,Port Hedland,AU,-20.3167,118.5667,73.4,49,0,8.05,clear sky
196,Lisala,CD,2.15,21.5167,75.6,83,88,0.65,overcast clouds
197,Kurlovo,RU,55.4325,40.4854,36.5,86,60,5.99,broken clouds
198,Isla Mujeres,MX,21.2311,-86.731,87.8,62,40,10.36,scattered clouds
199,Tiksi,RU,71.6872,128.8694,22.6,93,94,8.05,overcast clouds
200,Pacific Grove,US,36.6177,-121.9166,61.0,59,1,7.45,clear sky
201,Praia,CV,14.9215,-23.5087,80.6,54,20,18.41,few clouds
202,Fort Nelson,CA,58.8053,-122.7002,19.4,73,75,2.3,broken clouds
203,Havelock,US,34.8791,-76.9013,78.8,50,1,9.22,clear sky
204,Broome,US,42.2506,-75.833,77.0,40,1,10.36,clear sky
205,Portland,US,45.5234,-122.6762,57.0,72,65,1.01,broken clouds
206,Balkhash,KZ,46.844,74.9804,62.96,36,2,3.29,clear sky
207,Sakakah,SA,29.9697,40.2064,86.0,10,0,12.66,clear sky
208,Synya,RU,65.3718,58.0387,33.49,95,100,4.21,overcast clouds
209,Anloga,GH,5.7947,0.8973,84.2,70,20,5.75,few clouds
210,Dunedin,NZ,-45.8742,170.5036,53.01,83,95,3.71,overcast clouds
211,Nyurba,RU,63.2842,118.3319,16.5,94,11,1.77,few clouds
212,Shetpe,KZ,44.1667,52.1167,63.27,34,100,21.09,overcast clouds
213,Korla,CN,41.7597,86.1469,67.28,23,1,3.09,clear sky
214,Antoing,BE,50.556,3.4653,64.4,36,0,9.22,clear sky
215,Mildura,AU,-34.2,142.15,48.99,66,1,5.01,clear sky
216,Anadyr,RU,64.75,177.4833,14.0,85,0,4.47,clear sky
217,Kawalu,ID,-7.3817,108.2082,73.13,89,100,1.05,overcast clouds
218,San Quintin,MX,30.4833,-115.95,62.08,54,0,6.26,clear sky
219,Dukat,RU,62.55,155.55,10.54,72,93,3.58,overcast clouds
220,Saint-Joseph,RE,-21.3667,55.6167,77.0,78,92,8.05,light rain
221,Thinadhoo,MV,0.5333,72.9333,83.57,63,64,3.96,broken clouds
222,Lorengau,PG,-2.0226,147.2712,80.82,79,47,5.66,scattered clouds
223,Muscat,OM,23.6139,58.5922,93.2,24,75,2.3,broken clouds
224,Katangli,RU,51.7102,143.2326,29.43,83,100,13.56,overcast clouds
225,Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,3.44,overcast clouds
226,Fukue,JP,32.6881,128.8419,63.16,93,100,5.39,overcast clouds
227,Kavaratti,IN,10.5669,72.642,84.92,69,0,6.38,clear sky
228,Srivardhan,IN,18.0333,73.0167,82.29,78,3,5.44,clear sky
229,Concepcion Del Uruguay,AR,-32.4825,-58.2372,72.0,53,0,1.99,clear sky
230,Scarborough,GB,54.2797,-0.4044,48.0,65,41,3.0,scattered clouds
231,Lowestoft,GB,52.4752,1.7516,50.0,82,90,8.01,overcast clouds
232,Pilar,BR,-9.5972,-35.9567,84.2,74,75,11.5,broken clouds
233,Sabha,LY,27.0377,14.4283,97.5,8,2,8.05,clear sky
